City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain Fall,Snow Fall
0,Cheremshan,54.67,51.5,few clouds,35.96,77,24,14.67,RU,2020-04-16 22:47:55,0.0,0.0
1,Rudbar,30.15,62.6,light rain,61.39,66,73,7.94,AF,2020-04-16 22:47:56,0.44,0.0
2,Mahebourg,-20.41,57.7,scattered clouds,75.2,73,40,12.75,MU,2020-04-16 22:47:56,0.0,0.0
3,Cape Town,-33.93,18.42,overcast clouds,60.01,93,86,3.36,ZA,2020-04-16 22:47:38,0.0,0.0
4,Punta Arenas,-53.15,-70.92,broken clouds,50.0,87,75,8.05,CL,2020-04-16 22:47:56,0.0,0.0
5,Vaini,-21.2,-175.2,broken clouds,78.8,78,75,5.82,TO,2020-04-16 22:47:57,0.0,0.0
6,Calvinia,-31.47,19.78,few clouds,53.8,37,14,2.37,ZA,2020-04-16 22:43:20,0.0,0.0
7,Mataura,-46.19,168.86,moderate rain,46.0,95,100,5.01,NZ,2020-04-16 22:47:57,3.06,0.0
8,Ust-Nera,64.57,143.2,light snow,0.12,79,100,11.7,RU,2020-04-16 22:47:57,0.0,0.11
9,Kahului,20.89,-156.47,few clouds,82.4,48,20,16.11,US,2020-04-16 22:47:57,0.0,0.0
10,Albany,42.6,-73.97,shower rain,42.8,35,40,14.99,US,2020-04-16 22:47:54,0.0,0.0
11,Svetlyy,54.67,20.13,broken clouds,41.0,93,69,4.47,RU,2020-04-16 22:47:58,0.0,0.0
12,Sedkyrkeshch,61.75,50.92,light shower snow,33.8,86,90,8.95,RU,2020-04-16 22:47:58,0.0,0.0
13,Kapaa,22.08,-159.32,scattered clouds,80.6,65,40,12.75,US,2020-04-16 22:43:27,0.0,0.0
14,Atagay,55.1,99.39,overcast clouds,40.6,64,99,3.38,RU,2020-04-16 22:47:58,0.0,0.0
15,Souillac,-20.52,57.52,scattered clouds,75.2,73,40,12.75,MU,2020-04-16 22:47:58,0.0,0.0
16,Warri,5.52,5.75,overcast clouds,81.21,89,99,4.85,NG,2020-04-16 22:47:59,0.0,0.0
17,Mabaruma,8.2,-59.78,scattered clouds,75.78,79,37,6.42,GY,2020-04-16 22:47:59,0.0,0.0
18,Kashi,39.45,75.98,dust,62.6,38,40,11.18,CN,2020-04-16 22:47:59,0.0,0.0
19,Roald,62.58,6.13,light snow,39.2,55,91,8.05,NO,2020-04-16 22:47:59,0.0,0.13
20,Petropavlovka,50.61,105.32,clear sky,46.26,38,0,2.62,RU,2020-04-16 22:47:59,0.0,0.0
21,Rikitea,-23.12,-134.97,few clouds,76.37,75,24,12.77,PF,2020-04-16 22:48:00,0.0,0.0
22,Jibuti,11.5,42.5,clear sky,84.2,79,1,9.19,DJ,2020-04-16 22:48:00,0.0,0.0
23,Meybod,32.25,54.02,few clouds,60.8,51,20,6.93,IR,2020-04-16 22:48:00,0.0,0.0
24,Kaitangata,-46.28,169.85,light rain,48.99,81,100,4.0,NZ,2020-04-16 22:48:01,2.88,0.0
25,Salym,60.06,71.48,overcast clouds,41.04,89,100,8.05,RU,2020-04-16 22:48:01,0.0,0.0
26,Bengkulu,-3.8,102.27,moderate rain,76.08,89,100,5.3,ID,2020-04-16 22:48:01,5.56,0.0
27,Port Hardy,50.7,-127.42,few clouds,57.2,58,20,6.93,CA,2020-04-16 22:48:01,0.0,0.0
