City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
2,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
5,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
13,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
15,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
16,Warri,NG,81.21,overcast clouds,5.52,5.75,BON Hotel Delta
17,Mabaruma,GY,75.78,scattered clouds,8.2,-59.78,
21,Rikitea,PF,76.37,few clouds,-23.12,-134.97,Pension Maro'i
22,Jibuti,DJ,84.2,clear sky,11.5,42.5,Campement touristique DANKALELO
32,Kidal,ML,84.63,scattered clouds,18.44,1.41,
37,Carnarvon,AU,75.2,overcast clouds,-24.87,113.63,Hospitality Carnarvon
44,Honiara,SB,82.4,broken clouds,-9.43,159.95,Heritage Park Hotel
51,Teknaf,BD,75.49,clear sky,20.86,92.31,Magnum Engineering & Construction
57,Port Blair,IN,82.72,overcast clouds,11.67,92.75,Hotel Sentinel
58,Zaraza,VE,78.98,overcast clouds,9.35,-65.32,Hotel Zaraza
61,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
63,Carutapera,BR,80.26,overcast clouds,-1.2,-46.02,Lidera
69,Katobu,ID,81.37,clear sky,-4.94,122.53,La Ode Gombe
72,Arraial Do Cabo,BR,75.79,overcast clouds,-22.97,-42.03,Pousada Porto Praia
73,Bonthe,SL,81.39,broken clouds,7.53,-12.51,Bonthe Holiday Village
79,Puerto Ayora,EC,82.4,shower rain,-0.74,-90.35,Finch Bay Galapagos Hotel
84,Parrita,CR,84.2,few clouds,9.52,-84.32,Beso del Viento
86,Si Bun Ruang,TH,81.16,overcast clouds,16.97,102.28,รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
92,Faanui,PF,83.26,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Kibala,TD,86.88,few clouds,9.11,18.35,
98,San Patricio,MX,77.0,clear sky,19.22,-104.7,Hotel Cabo Blanco
107,Dinguiraye,GN,82.8,scattered clouds,11.3,-10.72,
115,Dingle,PH,83.97,scattered clouds,11.0,122.67,Camp Pasica
118,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
122,Atuona,PF,82.76,scattered clouds,-9.8,-139.03,Villa Enata
123,Tayoltita,MX,83.97,overcast clouds,24.08,-105.93,Hotel Belmor
127,Bilma,NE,83.41,overcast clouds,18.69,12.92,Expeditions Ténére voyages
131,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
132,Pisco,PE,75.99,few clouds,-13.7,-76.22,Hostal San Isidro Oficial
152,Kudahuvadhoo,MV,84.97,few clouds,2.67,72.89,Kudahuvadhoo Retreat
157,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
159,Cabo San Lucas,MX,84.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
164,Niquero,CU,80.94,broken clouds,20.04,-77.58,
173,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
174,Ratnagiri,IN,78.28,clear sky,16.98,73.3,Hotel Landmark
177,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
180,Beloha,MG,75.07,clear sky,-25.17,45.05,
183,Pacora,PA,89.6,few clouds,9.08,-79.28,Balneario De rio De Pacora
184,Hilo,US,77.0,light rain,19.73,-155.09,Hilo Hawaiian Hotel
187,Tabuk,PH,78.55,broken clouds,17.42,121.44,
196,Atar,MR,78.48,overcast clouds,20.52,-13.05,Oumou Elghoura
204,Bintulu,MY,77.0,broken clouds,3.17,113.03,900 Boutique INN
206,Matara,LK,77.67,scattered clouds,5.95,80.54,Amaloh Boutique Resort
223,Kouango,CF,76.44,scattered clouds,4.99,19.96,
228,Ambad,IN,78.67,few clouds,19.62,75.8,Shri Saheb Lodge
232,Burpengary,AU,79.0,few clouds,-27.16,152.96,Homestay Experience
233,San Angelo,US,79.0,clear sky,31.46,-100.44,Motel 6 San Angelo
238,Bandarbeyla,SO,81.57,few clouds,9.49,50.81,REER XOOSHLE GROUP
247,Ugoofaaru,MV,85.12,scattered clouds,5.67,73.0,Ungoofaaru Inn
249,San Cristobal,VE,87.8,haze,7.77,-72.22,Pirineos
251,Karratha,AU,84.38,overcast clouds,-20.74,116.85,ibis Styles Karratha
252,Majene,ID,81.97,scattered clouds,-3.54,118.97,Kost Putri RABBANI
253,Wanning,CN,76.84,overcast clouds,18.8,110.4,Paradise Hotel
256,Road Town,VG,82.4,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
259,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
260,Maan,PH,84.65,broken clouds,5.93,124.74,beach front hotel
262,Sampit,ID,78.91,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
264,Humaita,BR,75.56,broken clouds,-7.51,-63.02,Corrêa Hotel
267,Ranong,TH,80.24,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
272,Ciudad Guayana,VE,85.95,scattered clouds,8.35,-62.65,Hotel Las Americas
278,Pangai,TO,78.8,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
279,San Andres,CO,86.0,few clouds,12.58,-81.7,Hotel Arena Blanca
281,Ukiah,US,78.8,clear sky,39.15,-123.21,Hampton Inn Ukiah
282,Champerico,GT,87.1,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
285,Machilipatnam,IN,79.36,few clouds,16.17,81.13,RK Family Restaurant
286,Ramon,PH,78.84,broken clouds,16.78,121.53,
290,Vila Velha,BR,78.8,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
