City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2020-04-14 17:51:56,-37.62,-73.65,61.63,49,94,7.58
1,Simpang,ID,2020-04-14 17:51:56,-1.27,104.08,79.77,84,78,6.15
2,Tuktoyaktuk,CA,2020-04-14 17:51:56,69.45,-133.04,17.6,92,40,10.29
3,Qaanaaq,GL,2020-04-14 17:51:56,77.48,-69.36,22.53,94,100,4.38
4,Tiksi,RU,2020-04-14 17:51:57,71.69,128.87,8.94,95,100,5.21
5,Saint-Pierre,RE,2020-04-14 17:51:57,-21.34,55.48,77.0,78,75,4.7
6,Hermanus,ZA,2020-04-14 17:51:57,-34.42,19.23,64.99,81,1,1.99
7,Cape Town,ZA,2020-04-14 17:51:57,-33.93,18.42,64.99,77,0,8.05
8,Rikitea,PF,2020-04-14 17:51:58,-23.12,-134.97,75.76,70,40,8.3
9,Dve Mogili,BG,2020-04-14 17:51:58,43.6,25.87,59.0,54,97,20.8
10,Busselton,AU,2020-04-14 17:47:47,-33.65,115.33,55.0,59,54,16.13
11,Moree,AU,2020-04-14 17:51:58,-29.47,149.85,60.8,77,0,11.41
12,Saskylakh,RU,2020-04-14 17:51:59,71.92,114.08,0.63,91,99,16.93
13,Severobaykalsk,RU,2020-04-14 17:51:59,55.65,109.32,29.52,71,0,2.8
14,New Norfolk,AU,2020-04-14 17:51:59,-42.78,147.06,60.01,82,90,9.17
15,Senanga,ZM,2020-04-14 17:51:59,-16.12,23.27,75.07,40,48,3.31
16,Henties Bay,NA,2020-04-14 17:51:59,-22.12,14.28,61.0,85,1,1.99
17,Port Elizabeth,ZA,2020-04-14 17:52:01,-33.92,25.57,62.6,93,18,5.82
18,Yellowknife,CA,2020-04-14 17:52:01,62.46,-114.35,28.0,73,90,6.93
19,Lillooet,CA,2020-04-14 17:52:02,50.69,-121.94,51.8,40,40,3.36
20,Ushuaia,AR,2020-04-14 17:52:03,-54.8,-68.3,48.2,76,100,5.97
21,Sherman,US,2020-04-14 17:50:48,33.64,-96.61,52.0,75,90,10.29
22,Torbay,CA,2020-04-14 17:52:03,47.67,-52.73,50.0,100,90,27.51
23,Grand Gaube,MU,2020-04-14 17:52:03,-20.01,57.66,78.01,88,75,18.34
24,Neryungri,RU,2020-04-14 17:52:04,56.67,124.65,24.57,88,69,3.4
25,Nuuk,GL,2020-04-14 17:48:40,64.18,-51.72,32.0,92,75,10.29
26,Lavrentiya,RU,2020-04-14 17:52:04,65.58,-171.0,27.34,97,100,10.31
27,Punta Arenas,CL,2020-04-14 17:52:04,-53.15,-70.92,53.6,62,75,19.46
28,Teknaf,BD,2020-04-14 17:52:04,20.86,92.31,75.9,86,0,2.08
29,Puerto Leguizamo,CO,2020-04-14 17:52:05,-0.19,-74.78,93.38,38,68,4.59
30,Nelson Bay,AU,2020-04-14 17:52:05,-32.72,152.15,60.01,93,0,5.82
31,Iqaluit,CA,2020-04-14 17:52:05,63.75,-68.51,19.4,62,90,12.75
32,Hilo,US,2020-04-14 17:51:00,19.73,-155.09,71.6,88,90,11.74
33,Georgetown,MY,2020-04-14 17:52:06,5.41,100.34,82.4,88,20,2.24
34,Nisia Floresta,BR,2020-04-14 17:52:06,-6.09,-35.21,89.6,55,40,12.75
35,Oistins,BB,2020-04-14 17:52:07,13.07,-59.53,86.0,58,40,20.8
36,Saint-Joseph,RE,2020-04-14 17:52:07,-21.37,55.62,77.0,78,75,4.7
37,Jamestown,US,2020-04-14 17:52:08,42.1,-79.24,43.0,40,1,6.93
38,Kapaa,US,2020-04-14 17:49:48,22.08,-159.32,71.6,94,75,5.82
39,Mar Del Plata,AR,2020-04-14 17:52:08,-38.0,-57.56,64.99,36,20,14.99
40,Samarai,PG,2020-04-14 17:52:08,-10.62,150.67,80.33,84,90,6.35
41,Rock Sound,BS,2020-04-14 17:52:08,24.9,-76.2,78.4,81,30,14.23
42,Tezu,IN,2020-04-14 17:52:09,27.92,96.17,75.65,38,18,3.8
43,Provideniya,RU,2020-04-14 17:52:09,64.38,-173.3,25.99,96,100,11.7
44,Geraldton,AU,2020-04-14 17:52:09,-28.77,114.6,64.4,77,40,9.17
45,Batesville,US,2020-04-14 17:52:10,35.77,-91.64,48.99,52,90,5.82
46,Bedele,ET,2020-04-14 17:52:10,8.46,36.35,65.5,34,60,3.62
47,Pizhanka,RU,2020-04-14 17:52:11,57.46,48.54,41.23,72,82,10.54
48,Albany,US,2020-04-14 17:47:17,42.6,-73.97,52.0,31,75,16.11
49,Dunedin,NZ,2020-04-14 17:50:14,-45.87,170.5,46.0,71,93,3.0
50,Faanui,PF,2020-04-14 17:52:12,-16.48,-151.75,82.2,72,25,6.06
51,Tuatapere,NZ,2020-04-14 17:52:12,-46.13,167.68,43.0,86,97,1.01
52,Atuona,PF,2020-04-14 17:52:12,-9.8,-139.03,82.13,69,62,4.47
53,Ponta Delgada,PT,2020-04-14 17:52:13,37.73,-25.67,60.8,72,40,12.75
54,Saint-Philippe,RE,2020-04-14 17:52:13,-21.36,55.77,77.0,78,75,4.7
55,Najran,SA,2020-04-14 17:52:13,17.49,44.13,75.2,64,75,5.82
56,Port Hardy,CA,2020-04-14 17:52:14,50.7,-127.42,51.8,71,40,4.7
57,Kruisfontein,ZA,2020-04-14 17:52:08,-34.0,24.73,57.2,86,3,6.89
58,Mwinilunga,ZM,2020-04-14 17:52:15,-11.74,24.43,65.41,62,63,3.02
59,Mataura,NZ,2020-04-14 17:52:15,-46.19,168.86,43.0,86,73,1.01
60,Hobart,AU,2020-04-14 17:52:09,-42.88,147.33,60.01,82,90,9.17
61,Ghanzi,BW,2020-04-14 17:52:16,-21.57,21.78,77.05,27,84,7.9
62,Bafut,CM,2020-04-14 17:52:16,6.08,10.1,71.31,51,75,1.14
63,Ilulissat,GL,2020-04-14 17:52:16,69.22,-51.1,28.4,74,75,3.36
64,Surt,LY,2020-04-14 17:49:16,31.21,16.59,83.28,25,91,4.72
65,Bengkulu,ID,2020-04-14 17:52:17,-3.8,102.27,79.52,82,100,2.86
66,Bambous Virieux,MU,2020-04-14 17:52:17,-20.34,57.76,78.01,88,75,18.34
67,Athens,GR,2020-04-14 17:50:26,37.98,23.72,68.0,63,75,6.13
68,Tobermory,CA,2020-04-14 17:52:18,45.25,-81.67,37.0,56,46,10.0
69,Talisayan,PH,2020-04-14 17:52:18,6.99,121.93,78.39,77,36,1.77
70,Port Blair,IN,2020-04-14 17:50:00,11.67,92.75,83.3,73,89,7.92
71,Bredasdorp,ZA,2020-04-14 17:52:19,-34.53,20.04,61.0,77,0,2.24
72,Carnarvon,AU,2020-04-14 17:52:19,-24.87,113.63,73.4,78,29,18.34
73,Bluff,NZ,2020-04-14 17:52:19,-46.6,168.33,43.0,86,66,1.01
74,Ostrovnoy,RU,2020-04-14 17:52:19,68.05,39.51,35.51,85,89,13.15
75,Butaritari,KI,2020-04-14 17:52:19,3.07,172.79,83.62,80,37,17.67
